date,dep_unleaded_95,dep_unleaded_100,dep_diesel,dep_heating_diesel,dep_autogas
2018-12-15,1.348,1.432,1.171,0.92,0.615
2018-12-16,1.348,1.432,1.171,0.92,0.615
2018-12-17,1.348,1.432,1.171,0.92,0.615
2018-12-18,1.348,1.432,1.17,0.919,0.613
2018-12-19,1.34,1.424,1.162,0.91,0.608
2018-12-20,1.334,1.418,1.157,0.905,0.606
2018-12-21,1.324,1.407,1.147,0.894,0.602
2018-12-22,1.313,1.396,1.135,0.882,0.597
2018-12-23,1.313,1.396,1.135,0.882,0.597
2018-12-24,1.313,1.396,1.135,0.882,0.597
2018-12-25,1.313,1.395,1.134,0.882,0.597
2018-12-26,1.313,1.395,1.134,0.882,0.597
2018-12-27,1.313,1.395,1.134,0.882,0.597
2018-12-28,1.308,1.391,1.127,0.875,0.596
2018-12-29,1.3,1.383,1.115,0.862,0.592
2018-12-30,1.3,1.383,1.115,0.862,0.592
2018-12-31,1.3,1.383,1.115,0.862,0.592
2019-01-01,1.305,1.387,1.114,0.861,0.59
2019-01-02,1.305,1.387,1.114,0.861,0.59
2019-01-03,1.306,1.389,1.112,0.858,0.59
2019-01-04,1.309,1.392,1.113,0.859,0.591
2019-01-05,1.321,1.404,1.119,0.865,0.591
2019-01-06,1.321,1.404,1.119,0.865,0.591
2019-01-07,1.321,1.404,1.119,0.865,0.591
2019-01-08,1.327,1.41,1.131,0.877,0.592
2019-01-09,1.328,1.411,1.137,0.884,0.591
2019-01-10,1.335,1.418,1.147,0.895,0.594
2019-01-11,1.34,1.423,1.156,0.903,0.6
2019-01-12,1.344,1.427,1.16,0.907,0.606
2019-01-13,1.344,1.427,1.16,0.907,0.606
2019-01-14,1.344,1.427,1.16,0.907,0.606
2019-01-15,1.348,1.43,1.165,0.913,0.614
2019-01-16,1.348,1.431,1.166,0.913,0.617
2019-01-17,1.347,1.43,1.168,0.914,0.62
2019-01-18,1.347,1.43,1.17,0.914,0.621
2019-01-19,1.351,1.434,1.173,0.917,0.622
2019-01-20,1.351,1.434,1.173,0.917,0.622
2019-01-21,1.351,1.434,1.173,0.917,0.622
2019-01-22,1.354,1.438,1.178,0.922,0.624
2019-01-23,1.355,1.439,1.177,0.921,0.624
2019-01-24,1.355,1.439,1.179,0.923,0.623
2019-01-25,1.352,1.435,1.178,0.921,0.624
2019-01-26,1.35,1.434,1.176,0.921,0.626
2019-01-27,1.35,1.434,1.176,0.921,0.626
2019-01-28,1.35,1.434,1.176,0.921,0.626
2019-01-29,1.346,1.43,1.173,0.918,0.628
2019-01-30,1.346,1.429,1.173,0.918,0.632
2019-01-31,1.347,1.43,1.174,0.919,0.635
2019-02-01,1.345,1.429,1.176,0.921,0.638
2019-02-02,1.349,1.432,1.18,0.925,0.644
2019-02-03,1.349,1.432,1.18,0.925,0.644
2019-02-04,1.349,1.432,1.18,0.925,0.644
2019-02-05,1.352,1.435,1.182,0.926,0.649
2019-02-06,1.352,1.435,1.183,0.926,0.652
2019-02-07,1.355,1.439,1.184,0.926,0.653
2019-02-08,1.356,1.44,1.186,0.927,0.654
2019-02-09,1.358,1.442,1.188,0.928,0.655
2019-02-10,1.358,1.442,1.188,0.928,0.655
2019-02-11,1.358,1.442,1.188,0.928,0.655
2019-02-12,1.36,1.444,1.189,0.929,0.655
2019-02-14,1.37,1.454,1.195,0.935,0.657
2019-02-15,1.375,1.459,1.199,0.94,0.66
2019-02-16,1.384,1.469,1.208,0.95,0.666
2019-02-17,1.384,1.469,1.208,0.95,0.666
2019-02-18,1.384,1.469,1.208,0.95,0.666
2019-02-19,1.391,1.476,1.216,0.958,0.672
2019-02-20,1.397,1.482,1.22,0.962,0.678
2019-02-21,1.404,1.489,1.224,0.966,0.683
2019-02-22,1.408,1.493,1.223,0.965,0.685
2019-02-23,1.413,1.498,1.225,0.965,0.687
2019-02-24,1.413,1.498,1.225,0.965,0.687
2019-02-25,1.413,1.498,1.225,0.965,0.687
2019-02-26,1.413,1.498,1.223,0.964,0.686
2019-02-27,1.412,1.497,1.223,0.963,0.682
2019-02-28,1.411,1.495,1.223,0.963,0.677
2019-03-01,1.408,1.492,1.222,0.961,0.672
2019-03-02,1.41,1.494,1.224,0.961,0.67
2019-03-03,1.41,1.494,1.224,0.961,0.67
2019-03-04,1.41,1.494,1.224,0.961,0.67
2019-03-05,1.413,1.498,1.225,0.962,0.67
2019-03-06,1.416,1.501,1.224,0.96,0.672
2019-03-07,1.419,1.504,1.224,0.959,0.68
2019-03-08,1.425,1.51,1.226,0.961,0.688
2019-03-09,1.425,1.51,1.223,0.957,0.693
2019-03-10,1.425,1.51,1.223,0.957,0.693
2019-03-11,1.425,1.51,1.223,0.957,0.693
2019-03-12,1.429,1.515,1.221,0.956,0.697
2019-03-13,1.433,1.518,1.219,0.954,0.697
2019-03-14,1.435,1.521,1.217,0.952,0.697
2019-03-15,1.442,1.528,1.217,0.953,0.699
2019-03-16,1.442,1.527,1.215,0.951,0.7
2019-03-17,1.442,1.527,1.215,0.951,0.7
2019-03-18,1.442,1.527,1.215,0.951,0.7
2019-03-19,1.444,1.529,1.213,0.949,0.701
2019-03-20,1.444,1.529,1.212,0.948,0.701
2019-03-21,1.446,1.532,1.213,0.95,0.7
2019-03-22,1.452,1.537,1.213,0.95,0.699
2019-03-23,1.456,1.541,1.212,0.949,0.696
2019-03-24,1.456,1.541,1.212,0.949,0.696
2019-03-25,1.456,1.541,1.212,0.949,0.696
2019-03-26,1.461,1.546,1.212,0.949,0.693
2019-03-27,1.465,1.551,1.21,0.948,0.689
2019-03-28,1.468,1.553,1.212,0.949,0.685
2019-03-29,1.468,1.554,1.214,0.951,0.68
2019-03-30,1.472,1.558,1.215,0.953,0.675
2019-03-31,1.472,1.558,1.215,0.953,0.675
2019-04-01,1.473,1.559,1.215,0.953,0.675
2019-04-02,1.475,1.561,1.216,0.954,0.671
2019-04-03,1.48,1.566,1.218,0.957,0.668
