date,eu_euro95,eu_diesel,gr_euro95,gr_diesel,it_euro95,it_diesel,bg_euro95,bg_diesel,ro_euro95,ro_diesel
2005-01-03,1.042,0.936,0.749,0.756,1.116,1.018,,,,
2005-01-10,1.038,0.931,0.748,0.758,1.088,1.004,,,,
2005-01-17,1.044,0.927,0.767,0.774,1.088,1.004,,,,
2005-01-24,1.046,0.929,0.783,0.778,1.090,1.004,,,,
2005-01-31,1.066,0.938,0.796,0.782,1.132,1.023,,,,
2005-02-07,1.075,0.937,0.805,0.786,1.136,1.023,,,,
2005-02-14,1.071,0.934,0.805,0.784,1.136,1.022,,,,
2005-02-21,1.073,0.936,0.808,0.784,1.136,1.023,,,,
2005-02-28,1.078,0.952,0.806,0.790,1.136,1.023,,,,
2005-03-07,1.087,0.969,0.809,0.805,1.159,1.048,,,,
2005-03-14,1.097,0.982,0.820,0.830,1.186,1.073,,,,
2005-03-21,1.098,0.989,0.823,0.862,1.186,1.073,,,,
2005-04-04,1.125,1.001,0.853,0.867,1.188,1.075,,,,
2005-04-11,1.152,1.023,0.899,0.883,1.236,1.123,,,,
2005-04-18,1.145,1.017,0.886,0.878,1.236,1.123,,,,
2005-04-25,1.148,1.015,0.873,0.870,1.235,1.121,,,,
2005-05-02,1.151,1.014,0.884,0.871,1.235,1.093,,,,
2005-05-09,1.143,1.005,0.883,0.867,1.215,1.073,,,,
2005-05-16,1.135,0.996,0.863,0.852,1.201,1.063,,,,
2005-05-23,1.127,0.990,0.853,0.841,1.186,1.053,,,,
2005-05-30,1.124,0.988,0.852,0.841,1.186,1.053,,,,
2005-06-06,1.143,1.010,0.859,0.850,1.198,1.075,,,,
2005-06-13,1.158,1.030,0.880,0.884,1.216,1.102,,,,
2005-06-20,1.169,1.044,0.891,0.901,1.216,1.104,,,,
2005-06-27,1.181,1.052,0.911,0.913,1.231,1.121,,,,
2005-07-04,1.187,1.058,0.921,0.915,1.246,1.131,,,,
2005-07-11,1.194,1.068,0.925,0.920,1.246,1.132,,,,
2005-07-18,1.198,1.066,0.940,0.925,1.248,1.133,,,,
2005-07-25,1.200,1.061,0.940,0.925,1.246,1.132,,,,
2005-08-01,1.204,1.060,0.933,0.920,1.246,1.132,,,,
2005-08-08,1.212,1.063,0.940,0.922,1.246,1.133,,,,
2005-08-15,1.221,1.069,0.940,0.922,1.246,1.133,,,,
2005-08-22,1.238,1.090,0.975,0.943,1.276,1.157,,,,
2005-08-29,1.237,1.093,0.946,0.948,1.277,1.158,,,,
2005-09-05,1.305,1.125,1.015,0.969,1.307,1.179,,,,
2005-09-12,1.301,1.119,1.058,0.989,1.330,1.207,,,,
2005-09-19,1.276,1.103,0.990,0.965,1.296,1.179,,,,
2005-09-26,1.273,1.109,0.976,0.963,1.293,1.178,,,,
2005-10-03,1.286,1.123,1.011,0.979,1.335,1.217,,,,
2005-10-10,1.278,1.125,1.026,0.993,1.338,1.218,,,,
2005-10-17,1.262,1.123,0.993,0.987,1.334,1.217,,,,
2005-10-24,1.244,1.117,0.960,0.980,1.296,1.208,,,,
2005-11-07,1.211,1.092,0.915,0.947,1.255,1.167,,,,
2005-11-14,1.200,1.077,0.901,0.928,1.246,1.138,,,,
2005-11-21,1.175,1.057,0.898,0.921,1.227,1.118,,,,
2005-11-28,1.175,1.055,0.894,0.915,1.226,1.118,,,,
2005-12-05,1.168,1.047,0.886,0.908,1.207,1.108,,,,
2005-12-12,1.171,1.052,0.899,0.910,1.214,1.115,,,,
2005-12-19,1.178,1.055,0.910,0.913,1.228,1.128,,,,
2006-01-09,1.197,1.073,0.914,0.913,1.256,1.156,,,,
2006-01-16,1.202,1.070,0.941,0.919,1.260,1.157,,,,
2006-01-23,1.201,1.072,0.943,0.919,1.260,1.157,,,,
2006-01-30,1.206,1.080,0.945,0.924,1.260,1.157,,,,
2006-02-06,1.210,1.085,0.944,0.925,1.258,1.157,,,,
