date,unleaded_95,unleaded_100,diesel,autogas,heating_diesel,filename
2023-01-01,1.842,2.046,1.795,0.947,1.138,IMERISIO_DELTIO_PANELLINIO_01_01_2023.pdf
2023-01-02,1.846,2.047,1.796,0.946,1.173,IMERISIO_DELTIO_PANELLINIO_02_01_2023.pdf
2023-01-03,1.851,2.047,1.796,0.946,1.206,IMERISIO_DELTIO_PANELLINIO_03_01_2023.pdf
2023-01-04,1.854,2.057,1.797,0.945,1.226,IMERISIO_DELTIO_PANELLINIO_04_01_2023.pdf
2023-01-05,1.856,2.057,1.797,0.946,1.238,IMERISIO_DELTIO_PANELLINIO_05_01_2023.pdf
2023-01-06,1.746,1.910,1.481,0.994,1.128,IMERISIO_DELTIO_PANELLINIO_06_01_2023.pdf
2023-01-07,1.856,2.051,1.795,0.946,1.242,IMERISIO_DELTIO_PANELLINIO_07_01_2023.pdf
2023-01-08,1.855,2.052,1.794,0.946,1.243,IMERISIO_DELTIO_PANELLINIO_08_01_2023.pdf
2023-01-09,1.855,2.050,1.791,0.949,1.246,IMERISIO_DELTIO_PANELLINIO_09_01_2023.pdf
2023-01-10,1.853,2.045,1.787,0.950,1.247,IMERISIO_DELTIO_PANELLINIO_10_01_2023.pdf
2023-01-11,1.851,2.051,1.783,0.951,1.246,IMERISIO_DELTIO_PANELLINIO_11_01_2023.pdf
2023-01-12,1.850,2.048,1.781,0.952,1.248,IMERISIO_DELTIO_PANELLINIO_12_01_2023.pdf
2023-01-13,1.851,2.043,1.781,0.953,1.250,IMERISIO_DELTIO_PANELLINIO_13_01_2023.pdf
2023-01-14,1.854,2.045,1.782,0.954,1.253,IMERISIO_DELTIO_PANELLINIO_14_01_2023.pdf
2023-01-15,1.854,2.047,1.782,0.955,1.255,IMERISIO_DELTIO_PANELLINIO_15_01_2023.pdf
2023-01-16,1.857,2.049,1.783,0.958,1.259,IMERISIO_DELTIO_PANELLINIO_16_01_2023.pdf
2023-01-17,1.862,2.050,1.786,0.960,1.264,IMERISIO_DELTIO_PANELLINIO_17_01_2023.pdf
2023-01-18,1.868,2.061,1.789,0.963,1.268,IMERISIO_DELTIO_PANELLINIO_18_01_2023.pdf
2023-01-19,1.873,2.062,1.793,0.967,1.272,IMERISIO_DELTIO_PANELLINIO_19_01_2023.pdf
2023-01-20,1.881,2.062,1.796,0.970,1.276,IMERISIO_DELTIO_PANELLINIO_20_01_2023.pdf
2023-01-21,1.887,2.067,1.799,0.973,1.279,IMERISIO_DELTIO_PANELLINIO_21_01_2023.pdf
2023-01-22,1.889,2.069,1.800,0.973,1.281,IMERISIO_DELTIO_PANELLINIO_22_01_2023.pdf
2023-01-23,1.895,2.073,1.804,0.975,1.285,IMERISIO_DELTIO_PANELLINIO_23_01_2023.pdf
2023-01-24,1.903,2.075,1.810,0.978,1.293,IMERISIO_DELTIO_PANELLINIO_24_01_2023.pdf
2023-01-25,1.909,2.092,1.814,0.981,1.298,IMERISIO_DELTIO_PANELLINIO_25_01_2023.pdf
2023-01-26,1.909,2.092,1.814,0.981,1.298,IMERISIO_DELTIO_PANELLINIO_26_01_2023.pdf
2023-01-27,1.916,2.092,1.821,0.986,1.302,IMERISIO_DELTIO_PANELLINIO_27_01_2023.pdf
2023-01-28,1.917,2.093,1.821,0.987,1.301,IMERISIO_DELTIO_PANELLINIO_28_01_2023.pdf
2023-01-29,1.918,2.095,1.821,0.988,1.301,IMERISIO_DELTIO_PANELLINIO_29_01_2023.pdf
2023-01-30,1.919,2.094,1.822,0.990,1.298,IMERISIO_DELTIO_PANELLINIO_30_01_2023.pdf
2023-01-31,1.919,2.091,1.819,0.991,1.293,IMERISIO_DELTIO_PANELLINIO_31_01_2023.pdf
2023-02-01,1.919,2.100,1.815,0.993,1.287,IMERISIO_DELTIO_PANELLINIO_01_02_2023.pdf
2023-02-02,1.918,2.097,1.810,0.994,1.279,IMERISIO_DELTIO_PANELLINIO_02_02_2023.pdf
2023-02-03,1.916,2.090,1.800,0.997,1.267,IMERISIO_DELTIO_PANELLINIO_03_02_2023.pdf
2023-02-04,1.913,2.088,1.791,0.998,1.259,IMERISIO_DELTIO_PANELLINIO_04_02_2023.pdf
2023-02-05,1.911,2.089,1.789,0.998,1.256,IMERISIO_DELTIO_PANELLINIO_05_02_2023.pdf
2023-02-07,1.905,2.081,1.765,0.999,1.232,IMERISIO_DELTIO_PANELLINIO_07_02_2023.pdf
2023-02-08,1.901,2.087,1.752,0.999,1.218,IMERISIO_DELTIO_PANELLINIO_08_02_2023.pdf
2023-02-09,1.897,2.083,1.742,0.997,1.210,IMERISIO_DELTIO_PANELLINIO_09_02_2023.pdf
2023-02-10,1.895,2.077,1.733,0.995,1.205,IMERISIO_DELTIO_PANELLINIO_10_02_2023.pdf
2023-02-11,1.895,2.078,1.729,0.994,1.203,IMERISIO_DELTIO_PANELLINIO_11_02_2023.pdf
2023-02-12,1.895,2.079,1.728,0.994,1.202,IMERISIO_DELTIO_PANELLINIO_12_02_2023.pdf
2023-02-13,1.895,2.079,1.724,0.992,1.200,IMERISIO_DELTIO_PANELLINIO_13_02_2023.pdf
2023-02-14,1.897,2.077,1.723,0.992,1.201,IMERISIO_DELTIO_PANELLINIO_14_02_2023.pdf
